Smithson,Holt
"About one mile north of the oil seeps I selected my site. Irregular beds of limestone dip gently eastward, massive deposits of black basalt are broken over the peninsula, giving the region a shattered appearance. It is one of the few places on the lake where the water comes right up to the mainland. Under shallow pinkish water is a network of mud cracks supporting the jig-saw puzzle that composes the salt flats. As I looked at the site, it reverberated out of the horizons only to suggest an immobile cyclone while flickering light made the entire landscape appear to quake. A dormant earthquake spread into the fluttering stillness, into a spinning sensation without movement. This site was a rotary that enclosed itself in an immense roundness. From that gyrating space emerged the possibility of the Spiral Jetty. No ideas, no concepts, no systems, no structures, no abstractions could hold themselves together in the actuality of that evidence. My dialectics of site and nonsite whirled into an indeterminate state, where solid and liquid lost themselves in each other. It was as if the mainland oscillated with waves and pulsations, and the lake remained rock still. The shore of the lake became the edge of the sun, a boiling curve, an explosion rising into a fiery prominence. Matter collapsing into the lake mirrored in the shape of a spiral. No sense wondering about classifications and categories, there were none.","The Pine Barrens is a wilderness of sand and pine trees 1,000 square miles in area in the central part of southern New Jersey. It’s the forgotten land of the northeastern urban belt: New York is an hour and 45 minutes away to the north, Philadelphia to the west, Atlantic City to the south. It’s full of sandy roads (some of them old stagecoach routes) that go nowhere, just dead-ending among the scrub or dwarf pine. Sometimes there’s an old shack at the end, or a blueberry field or a cranberry bog. In the central region there are three towns: Hog Wallow (population 25), Jenkins (45), and Chatsworth (300). There are deer and other wildlife. Branches of the Wading River and natural bogs of still dark water break up the surface of the land. There people call themselves “Pineys.” Most have lived there for generations, and even today few of the young people leave. Pineys stay pretty much to themselves, taking pride in their reclusiveness. Stories and myths and strange notions of city life have grown up among them."
"Chemically speaking, our blood is analogous in composition to the primordial seas. Following the spiral steps we return to our origins, back to the same pulpy protoplasm, a floating eye adrift in an antediluvian ocean. On the slopes of Rozel Point I closed my eyes, and the sun burned crimson through the lids. I opened them and the Great Salt Lake was bleeding scarlet streaks. My sight was saturated by the color of red algae circulating in the heart of the lake, pumping into ruby currents, no they were veins and arteries sucking up the obscure sediments. My eyes became combustion chambers churning orbs of blood blazing by the light of the sun.","Since I was eight years old I’ve been making trips to the Pine Barrens. Last spring I went there every day looking for land to buy to make a work. I didn’t find an available site that was right for my sculpture, but the landscape, as a whole, was very absorbing. I felt compelled to bring a sense of that place to other places. I figured I’d do this by filming various aspects of the land without a single person in it. In this way the landscape is no longer a mere backdrop for human activity; it begins to assert its own presence. I also wanted the Pineys themselves to talk about the place without my voice-over being heard. Documentaries have depended a great deal on explanatory narration by “voices of authority.” The attitude is usually falsely objective and educational—a kind of downward look at “interesting places with colorful people.” I wanted to make a film that would unfold intrinsically from the place and its inhabitants."
"Swirling within the incandescence of solar energy were sprays of blood. My movie would end in sunstroke. Perception was heaving, the stomach turning, I was on a geologic fault that groaned within me. Between heat lightning and heat exhaustion the spiral curled into vaporization. I had the red heaves, while the sun vomited its corpuscular radiations. Rays of glare hit my eyes with the frequency of a Geiger counter. Surely, the storm clouds massing would turn into a rain of blood. Once, when I was flying over the lake, its surface seemed to hold all the properties of an unbroken field of raw meat with gristle (foam); no doubt it was due to some freak wind action. Eyesight is often slaughtered by the other sense, and when that happens it becomes necessary to seek out dispassionate abstractions. The dizzying spiral yearns for the assurance of geometry. One wants to retreat into the cool rooms of reason. But no, there was Van Gogh with his easel on some sun-baked lagoon painting ferns of the Carboniferous Period. Then the mirage faded into the burning atmosphere.","I began by shooting a few rolls of film with my Bolex and by doing some interviews with the Pineys. I looked at the film rushes, listened to the tapes, and perceived the place at one remove. I have been shooting film in the landscape since 1968. Some of the footage I have made into films: Swamp in 1971 (with Robert Smithson) and a videotape, Underscan, in 1974, which is about a place—my aunt’s home in New Bedford, Massachusetts—with an audio track of her own words taken from letters. Some ideas from these pieces and other areas of my art were at work in the Pine Barrens, while at the same time the barrens were continuously re-involving me and giving me a flow of new film ideas. I kept to the same pattern—filming one day in the Pine Barrens, looking at rushes the next day in New York. Traveling back and forth from the Barrens to the city made both places emerge in my mind in a very focused and detached way."
"Time as decay or biological evolution is eliminated by many of these artists; this displacement allows the eye to see time as an infinity of surfaces or structures, or both combined, without the burden of what Roland Barthes calls the “undifferentiated mass of organic sensation.” The concealed surfaces in some of Judd’s works are hideouts for time. His art vanishes into a series of motionless intervals based on an order of solids. Robert Grosvenor’s suspended structural surfaces cancel out the notion of weight, and reverse the orientation of matter within the solid-state of inorganic time. This reduction of time all but annihilates the value of the notion of “action” in art.","The dialogue finally used in the film is concentrated; it is interspaced with the sounds of the place: birds, airplanes, crunching sand, wind, rippling water, general woods ambience. Each piece of dialogue is one of several versions of the same statement. Since the Pineys have lived isolated for generations and have an unusual way of speaking, clarity of local accent was a factor in the selection. Though you don’t see the Pineys and their individual identities aren’t revealed in the soundtrack, there is a sense of their presence throughout the film. The psychology of the place comes through in their language, and in the film the rhythm of their speech counterpoints the visual imagery. Without sync sound there’s a great deal more leeway in sound editing; word and image are not visually connected, so new unions of the verbal and visual can be made. At times crazed laughter, strange tales, or ironic intonations undercut the seeming beauty of this desolate, barren land."
"Mistakes and dead-ends often mean more to these artists than any proven problem. Questions about form seems as hopelessly inadequate as questions about content. Problems are unnecessary because problems represent values that create the illusion of purpose. The problem of “form vs. content,” for example, leads to illusionistic dialectics that become, at best, formalist reactions against content. Reaction follows action, till finally the artist gets “tired” and settles for a monumental inaction. The action-reaction syndrome is merely the leftovers of what Marshall McLuhan calls the hypnotic state of mechanism. According to him, an electrical numbing or torpor has replaced the mechanical breakdown. The awareness of the ultimate collapse of both mechanical and electrical technology has motivated these artists to build their monuments to or against entropy.","Since Pineys have a solid verbal take on their land, they liked being interviewed. From the beginning they took a lot of interest in the film. They’ve asked me to show it to them in their firehouse, and I may also show it at the Green Bank Inn. Since Pine Barrens evolves partially from the landscape itself, and partially from the people and their responses to their own natural environment, the audience for the film will extend much further than the art world."
"Art today is no longer an architectural afterthought, or an object to attach to a building after it is finished, but rather a total engagement with the building process from the ground up and from the sky down. The old landscape of naturalism and realism is being replaced by the new landscape of abstraction and artifice.","Along with being evocative of a technological system, I intend the work to be practical yet playful, functional yet not really necessary, a part of the architecture yet part of the outdoor environment as well."
"The future air terminal exists both in terms of mind and thing. It suggests the infinite in a finite way. The straight lines of landing fields and runways bring into existence a perception of “perspective” that evades all our conceptions of nature. The naturalism of seventeeth-, eighteenth- and nineteenth- century art is replaced by non-objective sense of site. The landscape begins to look more like a three dimensional map than a rustic garden. Aerial photography and air transportation bring into view the surface features of this shifting world of perspectives. The rational structures of buildings disappear into irrational disguises and are pitched into optical illusions. The world seen from the air is abstract and illusive. From the window of an airplane one can see drastic changes of scale, as one ascends and descends. The effect takes one from the dazzling to the monotonous in a short space of time—from the shrinking terminal to the obstructing clouds.","Since the sculptures are exposed fragments of vast, hidden networks, they are part of open-ended systems, part of the world. Over the years these technological systems have become necessary for our everyday existence, yet they are usually hidden behind walls or beneath the earth and relegated to the realm of the unconscious. We have trouble owning up to our almost total dependence on them."
"The actual meaning of an air terminal and how it relates to aircraft is one such problem. As the aircraft ascends into higher and higher altitudes and flies at faster speeds, its meaning as an object changes—one could even say reverses. The streamlined design of our earlier aircraft becomes increasingly more truncated and angular. Our whole notion of airflight is casting off the old meaning of speed through space, and developing a new meaning based on instantaneous time. The aircraft no longer “represents” a bird or animal (the flying tigers) in an organic way, because the movement of air around the craft is no longer visible. The meaning of airflight has for the most part been conditioned by a rationalism that supposes truths—such as nature, progress, and speed. Such meanings are merely “categorical” and have no basis in actual fact. The same condition exists in art, if one sees the art through the rational categories of “painting, sculpture and architecture.” The rationalist sees only the details and never the whole. The categories that proceed from rational logic inflate a linguistic detail into a dated system of meaning, so that we cannot see the aircraft through the “speed.” Language problems are often at the bottom of most rationalistic “objectivity.” One must be conscious of the changes in language, before one attempts to discover the form of an object or fact.","Reflecting on how our basic technological systems have interacted with nature reveals that in the name of technological improvement the environment has frequently been blindly and carelessly damaged. While continuing to meet our immediate material needs, the channeling of the energy and elements of the earth can be done intelligently with the long-term benefit of the planet in mind. In doing so we become nature’s agents rather than nature’s aggressors."
"If an aircraft discloses itself on an instant network of time, the result is an immobilization of space. This immobilization of space becomes more apparent if we consider the high altitude satellite. The farther out an object goes in space, the less it represents the old rational idea of visible speed. The streamlines of space are replaced by a crystalline structure of time. An example of this is the SECOR surveying satellite fabricated by the Cubic Corporation. This 45-pound object enables surveyors to tie together land masses separated by more than 2000 miles of land or water, or roughly the distance between the U.S. mainland and Hawaii. It increases the capability of the geodetic surveying program.","Technic in Greek means “art” or “artifice.” The land drainage systems of Crete and Babylon, the aqueducts of Rome are art in their own rights. Technology and art don’t exclude each other. By seeing the aesthetic aspects of our basic technologies and bringing art to bear on the construction of future systems, a new “technic”ology can develop."
"Remote places such as the Pine Barrens of New Jersey and the frozen wastes of the North and South Poles could be coordinated by art forms that would use the actual land as a medium. Television could transmit such activity all over the world. Instead of using a paintbrush to make his art, Robert Morris would like to use a bulldozer. Consider a “City of Ice” in the Arctic, that would contain frigid labyrinths, glacial pyramids, and towers of snow, all built according to strict abstract systems. Or an amorphous “City of Sand” that would be nothing but artificial dunes, and shallow sand pits.","For the time being, in the interim, in the course of time, from day to day, from hour to hour, until, in due time, and in the fullness of time, time endures, goes on, remains, persists, lasts, goes by, elapses, passes, flows, rolls on, flies, slips, slides, and glides by."
