Article Title,Paragraph
Hydra's Head,"The Seneca Indians of New York have a saying: “Pools of water are the eyes of the earth.” At night the pools of Hydra’s Head “see” the stars brought down into their circumferences, by day they catch in their “view” sky, clouds, sun, and a bird or two. The moon is seen moving from pool to pool as I walk—a continuous recurrence of light encircled. Eddies and whirlpools in the river below, fed by the mad waters of Niagara Falls seven miles upstream, keep up a loud rhythm— there’s always the sound of water. Hearing and seeing come together in a vaporous fusion. The sky has suddenly fallen and is circled at my feet. Clouds drift through the earth, the sun gleams off the windblown ripples. A bottomless hole is there to engulf me. A sinking feeling begins to pervade. Nature’s mirrors absorb. The color of the concrete pipe seen rimming the pools echoes in the color of the rocks nearby. The concrete separating water from earth is itself made of these elements—sand, stones, water combined. From time to time the air moves and waves the water. Then reflections waver, breaking up on the surface, becoming whole again in stillness. Changes in sunlight cause the color of entire pools to change or vanish in a silvery glimmer. Shades of green, aquamarine, blue, and silver come and go as I move around the pools. The depth and diameter of the sunken pipes causes shadows to be continuously cast; the green-gray color of wet concrete and the slight haze of river water all come together to bring about the surface color and the endlessness of the pools. The bottoms are invisible, the depths unknown. Evaporation and rain interact in an emptying and replenishing cycle. Each drop of rain causes circular ripples to multiply—circles within circles within circles. Water cascades down a tiny waterfall nearby. Falling water, rushing water, swirling water, still water, sound of water, color of water coalesce here in this place of water, not far from Niagara Falls—their proximity always felt, producing a continuous flow of liquid meditations."
Catch Basin,"Catch Basin, an artwork that is also a land drainage system in St. James Park, Toronto, Canada, evolved out of my recent concern with exposing and utilizing functional systems, which are usually hidden beneath the surfaces of our existence. These structural, functional networks—electricity, drainage, heating, plumbing—are basic technologies which support our everyday lives, but are usually only considered when breakdowns occur."
Catch Basin,"About ten feet above the sunken grate two steel rings are suspended from fifteen-foot posts by chains. The rings are the same diameter as the basin rim and the grate, echoing their structure and depth above. Circles of sky are framed through the rings, the entire structure of the work bringing the sky, as well as the water, down to earth."
Catch Basin,"Catch Basin is built to be functional—its function is visible only when it rains, at a time not generally considered ideal for viewing art. The rain washes down the grassy slopes into the channel pipe, following the natural topography of the land and flowing always toward the lowest point—the center—disappearing finally through the hole in the drain to be absorbed by the gravel and earth below. In the case of a torrential rain, there is an overflow pipe to channel floodwater into the city's underground drainage system."
Catch Basin,"It is not necessary to actually see the sculpture work when rain is falling; what is essential is that the sculpture has a functional aspect. Without the presence of rainwater one can still imagine the missing element, giving the work a potential—a sense of what might be. The structure of Catch Basin tracks its own function."
Catch Basin,"Catch Basin can evoke ancient drainage systems, some of the oldest of which have been in use since 5,000 B.C. in Crete. Egypt and Babylon drained wetlands, and Cato in 200 B.C. discussed farm irrigation in Roman land. Drainage technology in North America reached its apex in the late nineteenth century and has remained relatively unchanged since. John Johnston is credited with using tile drainage first in the United States, importing horseshoe-shaped tile from Scotland to his Geneva, New York, farm in 1835. His neighbors scoffed, but in 1848 after his system was successful, an English machine for making tile was brought to America. Since then, on this continent, tile drainage has been responsible for the blooming of deserts and the increase of crops in many places."
Ventilation Series,"Since the sculptures are exposed fragments of vast, hidden networks, they are part of open-ended systems, part of the world. Over the years these technological systems have become necessary for our everyday existence, yet they are usually hidden behind walls or beneath the earth and relegated to the realm of the unconscious. We have trouble owning up to our almost total dependence on them."
Ventilation Series,"Reflecting on how our basic technological systems have interacted with nature reveals that in the name of technological improvement the environment has frequently been blindly and carelessly damaged. While continuing to meet our immediate material needs, the channeling of the energy and elements of the earth can be done intelligently with the long-term benefit of the planet in mind. In doing so we become nature’s agents rather than nature’s aggressors."
Ventilation Series,"Technic in Greek means “art” or “artifice.” The land drainage systems of Crete and Babylon, the aqueducts of Rome are art in their own rights. Technology and art don’t exclude each other.  By seeing the aesthetic aspects of our basic technologies and bringing art to bear on the construction of future systems, a new “technic”ology can develop."
Ventilation Series,"In order to support the health and well-being of our visitors and staff, and in line with recommendations from public health officials regarding COVID-19, the exhibition Light and Language: Nancy Holt with A.K. Burns, Matthew Day Jackson, Dennis McNulty, Charlotte Moth, and Katie Paterson will now open in Spring 2021."
